name,pop,country,wkt
Tokyo,13929286,Japan,POINT(139.6917 35.6895)
"New York",8336817,USA,POINT(-74.0060 40.7128)
London,8982000,UK,POINT(-0.1278 51.5074)
Sydney,5312163,Australia,POINT(151.2093 -33.8688)
Cairo,9540000,Egypt,POINT(31.2357 30.0444)
